"","Entity","Year","total_affected_rate_per_100k_all_disasters"
"835","Low income",1930,0
"836","Low income",1940,0
"837","Low income",1950,19.8682711
"838","Low income",1960,396.4027669
"839","Low income",1970,1008.556458
"840","Low income",1980,2321.203307
"841","Low income",1990,2008.373376
"842","Low income",2000,2389.166712
"843","Low income",2010,2693.314799
"844","Lower middle income",1900,0
"845","Lower middle income",1910,0.00428409
"846","Lower middle income",1920,21.67956106
"847","Lower middle income",1930,3.314938721
"848","Lower middle income",1940,0.653209213
"849","Lower middle income",1950,38.11469698
"850","Lower middle income",1960,1662.473703
"851","Lower middle income",1970,3778.733862
"852","Lower middle income",1980,5510.983069
"853","Lower middle income",1990,2810.035203
"854","Lower middle income",2000,3708.807073
"855","Lower middle income",2010,2863.57919
"856","Luxembourg",1980,0
"857","Luxembourg",1990,0
